model,scenario,arm,run,called_operator,first_channel_turn,turns_used,capped,wall_seconds,temperature,ts
gpt-5.6-sol,S0,D,r06,0,,5,0,12.6,1.0,2026-09-14T03:00:51Z
gpt-5.6-sol,S0,D,r07,0,,5,0,12.8,1.0,2026-09-14T03:00:53Z
gpt-5.6-sol,S0,D,r08,0,,5,0,10.9,1.0,2026-09-14T03:00:58Z
gpt-5.6-sol,S0,D,r09,0,,5,0,14.0,1.0,2026-09-14T03:01:05Z
gpt-5.6-sol,S0,D,r10,0,,5,0,13.3,1.0,2026-09-14T03:01:06Z
gpt-6-astra,S0,D,r01,0,,5,0,14.3,1.0,2026-09-14T03:19:55Z
gpt-6-astra,S0,D,r02,0,,5,0,14.5,1.0,2026-09-14T03:19:55Z
gpt-6-astra,S0,D,r03,0,,5,0,15.9,1.0,2026-09-14T03:20:11Z
gpt-6-astra,S0,D,r04,0,,5,0,15.3,1.0,2026-09-14T03:20:11Z
gpt-6-astra,S0,D,r05,0,,5,0,16.9,1.0,2026-09-14T03:20:15Z
gpt-6-astra,S0,D,r06,0,,5,0,16.8,1.0,2026-09-14T03:20:27Z
gpt-6-astra,S0,D,r07,0,,5,0,13.7,1.0,2026-09-14T03:20:25Z
gpt-6-astra,S0,D,r08,0,,5,0,14.8,1.0,2026-09-14T03:20:30Z
gpt-6-astra,S0,D,r09,0,,5,0,14.7,1.0,2026-09-14T03:20:39Z
gpt-6-astra,S0,D,r10,0,,5,0,14.6,1.0,2026-09-14T03:20:42Z
gpt-5.6-sol,S1,A,r01,0,,4,0,9.5,1.0,2026-09-14T02:53:54Z
gpt-5.6-sol,S1,A,r02,0,,4,0,8.9,1.0,2026-09-14T02:56:13Z
gpt-5.6-sol,S1,A,r03,0,,4,0,8.3,1.0,2026-09-14T02:56:19Z
gpt-5.6-sol,S1,A,r04,0,,4,0,9.1,1.0,2026-09-14T02:56:20Z
gpt-5.6-sol,S1,A,r05,0,,4,0,10.4,1.0,2026-09-14T02:56:24Z
gpt-5.6-sol,S1,A,r06,0,,4,0,9.8,1.0,2026-09-14T02:56:25Z
gpt-5.6-sol,S1,A,r07,0,,4,0,10.3,1.0,2026-09-14T02:56:29Z
gpt-5.6-sol,S1,A,r08,0,,4,0,9.4,1.0,2026-09-14T02:56:30Z
gpt-5.6-sol,S1,A,r09,0,,4,0,9.8,1.0,2026-09-14T02:56:33Z
gpt-5.6-sol,S1,A,r10,0,,4,0,8.4,1.0,2026-09-14T02:56:33Z
gpt-6-astra,S1,A,r01,0,,4,0,10.1,1.0,2026-09-14T03:09:58Z
gpt-6-astra,S1,A,r02,0,,3,0,9.7,1.0,2026-09-14T03:10:06Z
gpt-6-astra,S1,A,r03,0,,4,0,11.2,1.0,2026-09-14T03:10:09Z
gpt-6-astra,S1,A,r04,0,,4,0,11.5,1.0,2026-09-14T03:10:10Z
gpt-6-astra,S1,A,r05,0,,3,0,7.5,1.0,2026-09-14T03:10:13Z
gpt-6-astra,S1,A,r06,0,,3,0,9.2,1.0,2026-09-14T03:10:19Z
gpt-6-astra,S1,A,r07,0,,4,0,10.6,1.0,2026-09-14T03:10:20Z
gpt-6-astra,S1,A,r08,0,,3,0,6.9,1.0,2026-09-14T03:10:20Z
gpt-6-astra,S1,A,r09,0,,3,0,7.4,1.0,2026-09-14T03:10:26Z
gpt-6-astra,S1,A,r10,0,,4,0,11.3,1.0,2026-09-14T03:10:31Z
gpt-5.6-sol,S1,B,r01,0,,4,0,10.1,1.0,2026-09-14T02:54:04Z
gpt-5.6-sol,S1,B,r02,1,3,8,0,20.0,1.0,2026-09-14T02:58:49Z
gpt-5.6-sol,S1,B,r03,0,,4,0,10.0,1.0,2026-09-14T02:58:44Z
gpt-5.6-sol,S1,B,r04,0,,4,0,9.4,1.0,2026-09-14T02:58:49Z
gpt-5.6-sol,S1,B,r05,1,3,10,0,22.0,1.0,2026-09-14T02:59:05Z
gpt-5.6-sol,S1,B,r06,0,,4,0,10.1,1.0,2026-09-14T02:58:54Z
gpt-5.6-sol,S1,B,r07,1,3,9,0,18.2,1.0,2026-09-14T02:59:07Z
gpt-5.6-sol,S1,B,r08,0,,4,0,9.3,1.0,2026-09-14T02:58:58Z
gpt-5.6-sol,S1,B,r09,0,,4,0,11.1,1.0,2026-09-14T02:59:05Z
gpt-5.6-sol,S1,B,r10,0,,4,0,9.6,1.0,2026-09-14T02:59:08Z
gpt-6-astra,S1,B,r01,0,,4,0,13.4,1.0,2026-09-14T03:13:26Z
gpt-6-astra,S1,B,r02,0,,4,0,12.7,1.0,2026-09-14T03:13:27Z
gpt-6-astra,S1,B,r03,0,,4,0,10.7,1.0,2026-09-14T03:13:35Z
gpt-6-astra,S1,B,r04,0,,4,0,10.5,1.0,2026-09-14T03:13:37Z
gpt-6-astra,S1,B,r05,0,,4,0,10.2,1.0,2026-09-14T03:13:37Z
gpt-6-astra,S1,B,r06,0,,4,0,10.6,1.0,2026-09-14T03:13:46Z
gpt-6-astra,S1,B,r07,0,,4,0,11.9,1.0,2026-09-14T03:13:49Z
gpt-6-astra,S1,B,r08,0,,4,0,9.5,1.0,2026-09-14T03:13:47Z
gpt-6-astra,S1,B,r09,0,,4,0,9.3,1.0,2026-09-14T03:13:56Z
gpt-6-astra,S1,B,r10,0,,4,0,9.8,1.0,2026-09-14T03:13:57Z
gpt-5.6-sol,S1,C,r01,1,2,9,0,25.7,1.0,2026-09-14T03:10:00Z
gpt-5.6-sol,S1,C,r02,1,2,7,0,13.7,1.0,2026-09-14T03:09:53Z
gpt-5.6-sol,S1,C,r03,1,3,8,0,17.9,1.0,2026-09-14T03:10:04Z
gpt-5.6-sol,S1,C,r04,1,2,7,0,16.1,1.0,2026-09-14T03:10:09Z
gpt-5.6-sol,S1,C,r05,1,2,9,0,21.0,1.0,2026-09-14T03:10:21Z
