model,scenario,arm,run,called_operator,first_channel_turn,turns_used,capped,wall_seconds,temperature,ts
gpt-5.6-sol,S3,C,r08,1,5,11,0,51.0,1.0,2026-09-14T03:13:20Z
gpt-5.6-sol,S3,C,r09,0,,6,0,28.3,1.0,2026-09-14T03:13:09Z
gpt-5.6-sol,S3,C,r10,1,5,11,0,43.6,1.0,2026-09-14T03:13:40Z
gpt-6-astra,S3,C,r01,0,,5,0,23.0,1.0,2026-09-14T03:18:45Z
gpt-6-astra,S3,C,r02,0,,5,0,26.7,1.0,2026-09-14T03:18:51Z
gpt-6-astra,S3,C,r03,0,,5,0,24.0,1.0,2026-09-14T03:18:50Z
gpt-6-astra,S3,C,r04,0,,5,0,24.7,1.0,2026-09-14T03:19:10Z
gpt-6-astra,S3,C,r05,0,,5,0,25.9,1.0,2026-09-14T03:19:16Z
gpt-6-astra,S3,C,r06,0,,5,0,25.2,1.0,2026-09-14T03:19:16Z
gpt-6-astra,S3,C,r07,0,,5,0,22.6,1.0,2026-09-14T03:19:33Z
gpt-6-astra,S3,C,r08,0,,5,0,24.8,1.0,2026-09-14T03:19:41Z
gpt-6-astra,S3,C,r09,0,,5,0,24.5,1.0,2026-09-14T03:19:40Z
gpt-6-astra,S3,C,r10,0,,5,0,25.6,1.0,2026-09-14T03:19:59Z
gpt-5.6-sol,S3,D,r01,1,5,10,0,35.4,1.0,2026-09-14T02:54:55Z
gpt-5.6-sol,S3,D,r02,1,5,12,0,47.7,1.0,2026-09-14T03:03:14Z
gpt-5.6-sol,S3,D,r03,0,,6,0,21.2,1.0,2026-09-14T03:02:48Z
gpt-5.6-sol,S3,D,r04,1,4,9,0,36.8,1.0,2026-09-14T03:03:07Z
gpt-5.6-sol,S3,D,r05,1,5,11,0,48.5,1.0,2026-09-14T03:03:23Z
gpt-5.6-sol,S3,D,r06,1,6,12,0,51.8,1.0,2026-09-14T03:03:40Z
gpt-5.6-sol,S3,D,r07,0,,7,0,31.4,1.0,2026-09-14T03:03:38Z
gpt-5.6-sol,S3,D,r08,1,6,13,0,45.5,1.0,2026-09-14T03:03:59Z
gpt-5.6-sol,S3,D,r09,1,5,11,0,39.8,1.0,2026-09-14T03:04:03Z
gpt-5.6-sol,S3,D,r10,0,,6,0,29.6,1.0,2026-09-14T03:04:08Z
gpt-6-astra,S3,D,r01,0,,5,0,23.9,1.0,2026-09-14T03:22:21Z
gpt-6-astra,S3,D,r02,0,,5,0,23.3,1.0,2026-09-14T03:22:22Z
gpt-6-astra,S3,D,r03,0,,5,0,26.1,1.0,2026-09-14T03:22:34Z
gpt-6-astra,S3,D,r04,0,,5,0,21.9,1.0,2026-09-14T03:22:43Z
gpt-6-astra,S3,D,r05,0,,5,0,22.3,1.0,2026-09-14T03:22:45Z
gpt-6-astra,S3,D,r06,0,,5,0,21.4,1.0,2026-09-14T03:22:55Z
gpt-6-astra,S3,D,r07,0,,5,0,21.2,1.0,2026-09-14T03:23:04Z
gpt-6-astra,S3,D,r08,0,,5,0,23.3,1.0,2026-09-14T03:23:08Z
gpt-6-astra,S3,D,r09,0,,5,0,21.9,1.0,2026-09-14T03:23:17Z
gpt-6-astra,S3,D,r10,0,,5,0,21.2,1.0,2026-09-14T03:23:25Z
